# GENERATED by hc-conformance --write-coverage-traceability. One row per words.yaml
# 'exercises:' claim (self-reported by the fixture author), cross-checked against that
# fixture's OWN grammar.xml. This is a STRUCTURAL check, not a semantic one: Confirmed means
# the construct text names a DTD element/attribute this grammar actually contains, never that
# the word's parse depends on it. Contradicted means identifiers were found in the construct's
# text but none appear in this grammar -- the claim looks wrong. Unmapped means the construct's
# text contains no identifier ConstructClaimCorroboration recognizes, so it cannot be checked
# either way. matched_tokens is empty for Unmapped. signature is "-" for expect_fail/expect_skip words.
fixture	word	signature	construct	status	matched_tokens
edge-cases/alpha-variable-name-collision	au	-	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
edge-cases/alpha-variable-name-collision	ia	AU|ia	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
edge-cases/bistratal-overlapping-segment-representation	abis	-	CharacterDefinitionTable: more than one table, one per stratum	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/bistratal-overlapping-segment-representation	basi	-	CharacterDefinitionTable: more than one table, one per stratum	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/bistratal-overlapping-segment-representation	des	ROOT3|des	CharacterDefinitionTable: more than one table, one per stratum	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/bistratal-overlapping-segment-representation	eds	-	CharacterDefinitionTable: more than one table, one per stratum	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/bistratal-overlapping-segment-representation	sed	ROOT4|sed	CharacterDefinitionTable: more than one table, one per stratum	Confirmed	CharacterDefinitionTable,characterDefinitionTable
edge-cases/compounding-breadth	ka	KA|ka	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	kaitu	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/compounding-breadth	kaki	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	kamtu	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	kaptu	-	Element deactivation (isActive) across loader collections	Confirmed	isActive
edge-cases/compounding-breadth	kati	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	katu	KA+TU|katu	CompoundingRule	Confirmed	CompoundingRule
edge-cases/compounding-breadth	katumi	-	CompoundingRule	Confirmed	CompoundingRule
edge-cases/compounding-breadth	kutu	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	patu	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/compounding-breadth	tu	TU|tu	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
edge-cases/deep-optional-affix-nesting	k	K|k	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/deep-optional-affix-nesting	xxxxxxxxxxxxk	P12+P11+P10+P9+P8+P7+P6+P5+P4+P3+P2+P1+K|xxxxxxxxxxxxk	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	años	YEAR+PL|años	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
edge-cases/diacritic-segments	años	YEAR+PL|años	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
edge-cases/diacritic-segments	años	YEAR+PL|años	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
edge-cases/diacritic-segments	añota	-	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
