# GENERATED by hc-conformance --write-coverage-traceability. One row per (fixture,
# obligation) pair this fixture witnesses, joined from three already-checked-in ledgers --
# never recomputed here, so this file costs no re-parse of its own. layer is Surface
# (semantic-coverage-evidence.tsv), Interface (interface-inventory.tsv +
# interface-witness.tsv), or Construct (construct-claim-corroboration.tsv); the chain/
# junction layer is out of scope (owned by interaction-chains.tsv's own generator).
# status vocabulary differs per layer -- see GrammarCoverageLedger's *Status methods --
# but 'witnessed' always means the same thing: a word-level counterfactual delta, never
# mere presence. detail carries the underlying verdict/claim-count for that reason.
fixture	layer	obligation	status	detail
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Allomorph	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Allomorphs	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/AlphaVariable	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/AlphaVariables	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/CharacterDefinitionTable	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/FeatureValue	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/HermitCrabInput	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Language	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/LexicalEntries	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/LexicalEntry	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/MorphemeId	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Name	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/NaturalClasses	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PartOfSpeech	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PartsOfSpeech	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhoneticInput	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhoneticOutput	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhoneticSequence	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhoneticShape	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhonologicalFeatureSystem	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhonologicalRule	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhonologicalRuleDefinitions	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhonologicalSubrule	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/PhonologicalSubrules	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Representation	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Representations	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/SegmentDefinition	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/SegmentDefinitions	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/SegmentNaturalClass	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/SimpleContext	witnessed	Evidenced
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Strata	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Stratum	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Symbol	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/SymbolicFeature	required-by-dtd	RequiredByDtd
edge-cases/alpha-variable-name-collision	Surface	dtd:element/Symbols	required-by-dtd	RequiredByDtd
