# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:element/AffixTemplate	RequiredByDtd	edge-cases/diacritic-segments	removed 1 <AffixTemplate> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplates' has incomplete content...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplates' has incomplete content...	edge-cases/diacritic-segments,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony
dtd:element/AffixTemplates	Evidenced	edge-cases/loader-isactive-breadth	removed 1 <AffixTemplates> element(s)	'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering
dtd:element/Allomorph	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <Allomorph> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorphs' has incomplete content. Li...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorphs' has incomplete content. Li...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/AllomorphCoOccurrenceRule	RequiredByDtd	edge-cases/morphotactic-attribute-breadth	removed 6 <AllomorphCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AllomorphCoOccurrenceRules' has incomp...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AllomorphCoOccurrenceRules' has incomp...	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain
dtd:element/AllomorphCoOccurrenceRules	Evidenced	edge-cases/morphotactic-attribute-breadth	removed 1 <AllomorphCoOccurrenceRules> element(s)	'sol': ok::- -> ok::SOL|sol	sol	ok::-	Word	ok::SOL|sol	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain
dtd:element/Allomorphs	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <Allomorphs> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntry' has invalid child elemen...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntry' has invalid child elemen...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/AlphaVariable	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 4 <AlphaVariable> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AlphaVariables' has incomplete content...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AlphaVariables' has incomplete content...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,languages/suffixing-vowel-harmony
dtd:element/AlphaVariables	Evidenced	edge-cases/alpha-variable-name-collision	removed 4 <AlphaVariables> element(s)	'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,languages/suffixing-vowel-harmony
dtd:element/AssignedFootFeatures	Evidenced	edge-cases/compounding-breadth	removed 6 <AssignedFootFeatures> element(s)	'kati': ok::- -> ok::KA+TI|kati	kati	ok::-	Word	ok::KA+TI|kati	edge-cases/compounding-breadth,edge-cases/feature-gating-breadth
dtd:element/AssignedHeadFeatures	Evidenced	edge-cases/compounding-breadth	removed 6 <AssignedHeadFeatures> element(s)	'kaki': ok::- -> ok::KA+KI|kaki	kaki	ok::-	Word	ok::KA+KI|kaki	edge-cases/compounding-breadth,edge-cases/feature-gating-breadth,edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/templatic-root-modification
