# GENERATED by conformance/tools/generate-fieldworks-producibility.ps1. One row per subject,
# where subjects are every SIL.Machine.Morphology.HermitCrab.FailureReason enum member (except
# None) plus every (element, attribute) row in conformance/interface-inventory.tsv. Authority:
# FieldWorks' HCLoader.cs (Src/LexText/ParserCore/HCLoader.cs) -- the component that turns a
# real FieldWorks/LibLCM project into an HC grammar. producible=No means no FieldWorks user can
# ever produce this construct, so covering it elsewhere in this suite proves nothing about real
# use. See conformance/docs/how-it-is-computed.md for the full explanation, including why this
# ledger is a point-in-time snapshot of an external repo that cannot be drift-checked here.
subject_kind	subject	producible	hcloader_sites	notes
failure-reason	ObligatorySyntacticFeatures	No		HCLoader never sets AffixProcessRule.ObligatorySyntacticFeatures or CompoundingRule.ObligatorySyntacticFeatures (checked LoadDerivAffixProcessRule HCLoader.cs:926-974, LoadInflAffixProcessRule 976-1006, LoadEndoCompoundingRule 1842-1912, LoadExoCompoundingRule 1922-2001 -- zero assignments). The only engine trigger, Morpher.cs:603-613, gates on word.ObligatorySyntacticFeatures, fed exclusively by those two rule properties, so this reason can never fire for a FieldWorks-produced grammar. Searched HCLoader.cs for: ObligatorySyntacticFeatures, OutputObligatoryFeatures, obligatoryHeadFeatures, obligatoryFootFeatures, Obligatory -- zero hits beyond unrelated identifiers. Matches this task's stated known data point exactly, and is the same underlying gap behind interface rows CompoundingRule.outputObligatoryFeatures and MorphologicalRule.outputObligatoryFeatures (also No).
failure-reason	AllomorphCoOccurrenceRules	Yes	HCLoader.cs:2163-2189 (LoadAllomorphCoOccurrenceRules); HCLoader.cs:341-345 (call site, gated on IMoAlloAdhocProhibRepository)	Corroborated by HCLoaderTests.cs:1046-1047 (AllomorphCoOccurrenceRules.Count/First asserted).
failure-reason	Environments	Yes	HCLoader.cs:815-829 (LoadRootAllomorph); HCLoader.cs:1322 (LoadCircumfixAffixProcessAllomorph); HCLoader.cs:1577,1604 (LoadFormAffixProcessAllomorph)	Any phonologically-conditioned allomorph environment a FieldWorks user enters produces this; one of the most routine constructs in the loader.
failure-reason	MorphemeCoOccurrenceRules	Yes	HCLoader.cs:2213-2239 (LoadMorphemeCoOccurrenceRules); HCLoader.cs:347-351 (call site, gated on IMoMorphAdhocProhibRepository)	Corroborated by HCLoaderTests.cs:1066-1067 (MorphemeCoOccurrenceRules.Count/First asserted).
failure-reason	DisjunctiveAllomorph	Yes	HCLoader.cs:716-728 (LoadLexEntry, multiple RootAllomorph added per entry); engine repo Allomorph.cs:127-151 derives this purely from allomorph index/environment ordering	Not gated by a distinct DTD attribute; fires whenever an entry HCLoader builds has more than one ordered, differently-conditioned allomorph -- ordinary FieldWorks allomorphy.
failure-reason	SurfaceFormMismatch	Yes	HCLoader.cs:204,2669-2743 (LoadCharacterDefinitionTable, always invoked once); HCLoader.cs:233 (Surface stratum, always created)	Intrinsic engine self-check (engine repo Morpher.cs:620-633) comparing a synthesized shape to the surface stratum's table; exercised on every FieldWorks-produced grammar, not gated by an optional construct.
failure-reason	Pattern	Yes	HCLoader.cs:2313-2418 (LoadPatternNode/LoadPatternNodes, used throughout affix and phonological rule construction)	Fires on any Lhs pattern mismatch; reachable trivially for any grammar with at least one rule, which every FieldWorks project produces.
failure-reason	HeadPattern	Yes	HCLoader.cs:1808-1840 (DefaultCompoundingRules, always generated unless NoDefaultCompounding is set); HCLoader.cs:1878-1904 (LoadEndoCompoundingRule head/nonhead pattern); HCLoader.cs:1943-1965 (LoadExoCompoundingRule head/nonhead pattern)	Default compounding rules alone make this reachable even with zero user-defined compound rules.
failure-reason	NonHeadPattern	Yes	HCLoader.cs:1808-1840 (DefaultCompoundingRules); HCLoader.cs:1878-1904,1943-1965 (Endo/Exo nonhead pattern)	Same reachability as HeadPattern.
failure-reason	RequiredSyntacticFeatureStruct	Yes	HCLoader.cs:930-936 (LoadDerivAffixProcessRule); HCLoader.cs:985-991 (LoadInflAffixProcessRule); HCLoader.cs:1016-1020 (LoadUnclassifiedAffixProcessRule); HCLoader.cs:1034-1038 (LoadCliticAffixProcessRule); HCLoader.cs:2051-2055 (LoadRewriteRule)	
